protocolo,bairro,categoria,canal,data_abertura,data_fechamento,status,nota_satisfacao
2026001,Camobi,Água e esgoto,WhatsApp,2026-04-04,2026-04-19,Concluído,3
2026002,Nossa Senhora de Lourdes,Água e esgoto,Telefone 156,2026-03-08,2026-03-14,Concluído,5
2026003,Nossa Senhora de Lourdes,Animais na via,WhatsApp,2026-07-10,2026-07-17,Concluído,6
2026004,Juscelino Kubitschek,Buraco na via,Presencial,2026-06-27,,Em aberto,
2026005,Centro,COLETA DE LIXO,Telefone 156,2026-02-18,2026-02-19,Concluído,5
2026006,Patronato,Poda de árvore,Presencial,2026-05-27,2026-06-20,Concluído,3
2026007,Juscelino Kubitschek,Buraco na via,Telefone 156,2026-04-05,,Em aberto,
2026008,Camobi,Buraco na via,Portal,2026-07-19,2026-06-11,Concluído,3
2026009,Centro,PODA DE ARVORE,Portal,2026-08-03,,Em aberto,
2026010,Juscelino Kubitschek,Buraco na via,WhatsApp,2026-04-22,2026-04-28,Concluído,5
2026011,Centro,Iluminação pública,WhatsApp,2026-07-27,2026-08-01,Concluído,6
2026012,Nossa Senhora de Lourdes,Coleta de lixo,Portal,2026-05-13,2026-05-18,Concluído,0
2026013,Patronato,Animais na via,WhatsApp,2026-03-22,2026-03-29,Concluído,5
2026014,Patronato,Animais na via,WhatsApp,2026-08-10,2026-08-14,Concluído,5
2026015,Passo d'Areia,Coleta de lixo,Portal,2026-08-17,2026-08-21,Concluído,2
2026016,Camobi,Água e esgoto,Telefone 156,2026-04-16,2026-04-18,Concluído,5
2026017,Tancredo Neves,ILUMINACAO PUBLICA,WhatsApp,2026-04-29,2026-05-08,Concluído,5
2026018,Juscelino Kubitschek,AGUA E ESGOTO,Telefone 156,2026-02-18,,Em aberto,
2026019,Tancredo Neves,AGUA E ESGOTO,Presencial,2026-02-25,2026-03-07,Concluído,1
2026020,Passo d'Areia,Água e esgoto,WhatsApp,2026-07-28,2026-08-08,Concluído,4
2026021,Tancredo Neves,Poda,WhatsApp,2026-03-25,,Em aberto,
2026022,Camobi,AGUA E ESGOTO,Telefone 156,2026-04-14,2026-04-28,Concluído,4
2026023,Passo d'Areia,Buraco na via,Portal,2026-08-08,2026-07-18,Concluído,5
2026024,Juscelino Kubitschek,ANIMAIS NA VIA,WhatsApp,2026-02-15,2026-02-22,Concluído,2
